,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best,communal
5043,IND81871,3-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Women (India); SFI: Students Federation of India; Students (India); AIDWA: All India Democratic Women's Association,6,,,0,60,,356,South Asia,India,Assam,Kamrup Metropolitan,North Guwahati,Guwahati,26.1892,91.7722,1,Sentinel (India),Subnational,"On 3 October 2020, protesters comprising members of organizations including Asom Mahila (Women) Sangha, AIDWA, North East Network, Pragatixil Nari Santha, Padatik Narik Samaj, SFI, and Axom Chatra Yuva Sanmilan, staged demonstration rally in Guwahati (Kamrup Metropolitan district, Assam), against the gang-rape incident in Hathras (Uttar Pradesh).",0,crowd size=no report,1618497441,10929,56151,181060,10929,0
5044,IND81868,3-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),,6,,,0,60,,356,South Asia,India,Assam,Bongaigaon,Bongaigaon,Bongaigaon,26.5014,90.5366,1,Sentinel (India),Subnational,"On 3 October 2020, local residents staged a candle light demonstration in Bongaigaon (Bongaigaon district, Assam), demanding justice for the family members of the victim of a gang-rape incident in Hathras (Uttar Pradesh).",0,crowd size=no report,1602018435,7323,21924,39905,7323,0
5054,IND81891,3-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Punjab,Sangrur,Sunam,Sunam,30.1288,75.7994,2,Hindustan Times,National,"On 3 October 2020, farmers held a demonstration at a grain silo in Chhajli in Sunam Tehsil (Sangrur, Punjab), protesting against the recently passed farm laws.",0,crowd size=no report,1680633744,15776,23727,54224,15776,0
5093,IND81877,3-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BJP: Bharatiya Janata Party,6,,,0,60,,356,South Asia,India,Telangana,Karimnagar,Karimnagar,Karimnagar,18.4391,79.1286,1,Hans India,Subnational,"On 3 October 2020, members of the BJP held a protest in Karimnagar town (Karimnagar, TS) against the new LRS scheme.",0,crowd size=no report,1715717052,33274,116217,270951,33274,0
5113,IND81819,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Maharashtra,Nashik,Nashik,Nashik,19.9972,73.7909,1,Hindustan Times,National,"On 2 October 2020, Congress members staged a protest, in Nashik (Maharashtra), against the agricultural ordinances and bills.",0,crowd size=no report,1602018435,29801,142100,566389,29801,0
5128,IND81853,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Health Workers (India),6,,,0,60,,356,South Asia,India,Kerala,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,8.4855,76.9492,1,The Hindu,National,"On 2 October 2020, members of the medical faculty and nurses held a protest in Thiruvananthapuram city ( Thiruvananthapuram, KL) against the suspension of doctor and nurses in connection with alleged negligence in care.",0,crowd size=no report,1602018436,34205,54013,54013,34205,0
5138,IND81894,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Valmiki Caste Group (India); Dalit Caste Group (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Agra,Agra,Agra,27.1833,78.0166,1,Times of India,National,"On 2 October 2020, members from the Valmiki community protested for the third day in Agra city (UP) against the gang rape and death of a 19 year old Dalit girl in Hathras.",0,crowd size=no report,1602606562,24768,104383,286265,24768,0
5155,IND81806,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Telangana,Medak,Medak,Medak,18.0453,78.2607,2,Times of India,National,"On 2 October 2020, members of the INC staged a protest in Medak district (Medak, TS) against the new farm bills introduced by the Centre.",0,crowd size=no report,1680633759,9758,38516,91824,9758,0
5185,IND81760,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI: Communist Party of India; CPI(ML): Communist Party of India (Marxist-Leninist); CPI(M): Communist Party of India (Marxist); AIFB: All India Forward Bloc; SUCI(C): Socialist Unity Centre of India (Communist); Women (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Deoria,Deoria,Deoria,26.5016,83.7793,2,United News of India,National,"On 2 October 2020, left political organisations including CPI, CPI-M, CPI-ML, Forward Bloc, SUCI (C) staged protests in Deoria District (UP) against the rise of rape and violence against women in UP.",0,crowd size=no report,1689711022,25924,83488,178523,25924,0
5186,IND81849,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI: Communist Party of India; CPI(ML): Communist Party of India (Marxist-Leninist); CPI(M): Communist Party of India (Marxist); AIFB: All India Forward Bloc; SUCI(C): Socialist Unity Centre of India (Communist); Women (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Sitapur,Sitapur,Sitapur,27.5619,80.6826,2,United News of India,National,"On 2 October 2020, left political organisations including CPI, CPI-M, CPI-ML, Forward Bloc, SUCI (C) staged protests in Sitapur District (UP) against the rise of rape and violence against women in UP.",0,crowd size=no report,1689711022,35911,63535,172746,35911,0
5189,IND81767,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI: Communist Party of India; CPI(ML): Communist Party of India (Marxist-Leninist); CPI(M): Communist Party of India (Marxist); AIFB: All India Forward Bloc; SUCI(C): Socialist Unity Centre of India (Communist); Women (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur,26.7662,83.3688,2,United News of India,National,"On 2 October 2020, left political organisations including CPI, CPI-M, CPI-ML, Forward Bloc, SUCI (C) staged protests in Gorakhpur District (UP) against the rise of rape and violence against women in UP.",0,crowd size=no report,1689711022,29839,119638,233494,29839,0
5201,IND81757,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Bhim Army; Dalit Caste Group (India); AAP: Aam Aadmi Party; Students (India); Women (India); IYC: Indian Youth Congress,6,,,0,60,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Asian News International; Chandigarh Tribune; Hindustan Times,National,"On 2 October 2020, 1000-1200 protestors from civil society, political parties including AAP and Bhim Army, entertainment and student and women's groups gathered at Jantar Mantar, youth congress members dressed as Gandhi organised a demonstration at Jantar Mantar Road and locals gathered at protest sites across Delhi (coded as Delhi-New Delhi), including CR Park, Vasant Kunj, Lodhi Colony and Dwarka to launch a continuous protest in Delhi (Delhi-New Delhi) against the Hathras gang rape case.",0,crowd size=1000-1200,1702407970,42775,313290,547126,42775,0
5211,IND81851,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Telangana,Suryapet,Suryapet,Suryapet,17.1405,79.6204,2,Times of India,National,"On 2 October 2020, members of the INC staged a protest in Suryapet district (Mahabubabad, TS) against the new farm bills introduced by the Centre.",0,crowd size=no report,1708472552,53043,98607,231918,53043,0
5233,IND81847,2-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,West Bengal,Darjeeling,Matigara,Siliguri,26.7272,88.3984,1,Siliguri Times,Subnational,"On 2 October 2020, members of Congress Party staged a protest rally and road blockade in Siliguri (Darjeeling district, Assam), protesting against the Hathras (UP) gang-rape case as well as the Farm Bills passed at the Parliament.",0,crowd size=no report,1714518461,6962,17537,30108,6962,0
5245,IND81698,1-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Maharashtra,Mumbai Suburban,Mumbai Suburban,Mumbai,19.0728,72.8826,1,BBC News,International,"On 1 October 2020, Congress members staged a protest, in Mumbai (Mumbai city, Maharashtra), against the Hathras gang rape of a Dalit girl, against the BJP government and ill-treatment of party leaders in UP.",0,crowd size=no report,1618497593,55231,136385,167764,55231,0
5271,IND81676,1-Oct-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),INC: Indian National Congress,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Tamil Nadu,Karur,Karur,Karur,10.9577,78.0809,1,The Hindu,National,"On 1 October 2020, INC members held protests in Karur town (Karur, TN) against the arrest of party leaders protesting against the gang rape of a Dalit woman from Hathras, UP. Police arrested protesters.",0,crowd size=no report,1602018436,9344,40391,139721,9344,0
5296,IND81685,1-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); BKU: Bharatiya Kisan Union; Women (India),6,,,0,60,,356,South Asia,India,Punjab,Bathinda,Bathinda,Lehra Bega,30.2472,75.1189,1,Hindustan Times,National,"On 1 October 2020, a gathering of almost 1000 farmers, affiliated with the Bharatiya Kisan Union, blocked a highway in Lehra Bega (Bathinda, Punjab) in protest to the farm laws passed by the central government.",0,crowd size=almost 1000,1680633744,2620,5698,12000,2620,0
5307,IND81652,1-Oct-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Valmiki Caste Group (India); Dalit Caste Group (India),6,,,0,60,,356,South Asia,India,Uttar Pradesh,Firozabad,Firozabad,Firozabad,27.1509,78.3978,1,Times of India,National,"On 1 October 2020, members from the Valmiki community staged large scale protests in Firozabad (UP) against the gang rape and death of a 19 year old Dalit girl in Hathras.",0,crowd size=large,1689711022,56244,247285,622500,56244,0
5360,IND81531,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BPF: Bodoland People's Front,6,,,0,60,,356,South Asia,India,Assam,Baksa,Baganpara,Dihira,26.7958,91.4002,2,Northeast Now; Sentinel (India),Subnational,"On 30 September 2020, members and supporters of BPF staged torchlight rally in Dihira constituency (Baska district, Assam), demanding an early election of the BTC (Bodo Territorial Council) which was postponed earlier due to coronavirus pandemic. The BPF workers staged protests across all the 40 constituencies of BTC.",0,crowd size=no report,1618497694,408,152,1055,408,0
5381,IND81596,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BPF: Bodoland People's Front,6,,,0,60,,356,South Asia,India,Assam,Kokrajhar,Gossaigaon,Saraibil,26.6331,89.9333,2,Northeast Now; Sentinel (India),Subnational,"On 30 September 2020, members and supporters of BPF staged torchlight rally in Saraibil constituency (Kokrajhar district, Assam), demanding an early election of the BTC (Bodo Territorial Council) which was postponed earlier due to coronavirus pandemic. The BPF workers staged protests across all the 40 constituencies of BTC.",0,crowd size=no report,1618497699,575,454,2446,575,0
5383,IND81603,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BPF: Bodoland People's Front,6,,,0,60,,356,South Asia,India,Assam,Chirang,Bijni,Subhaijhar,26.5936,90.6355,2,Sentinel (India); Northeast Now,Subnational,"On 30 September 2020, members and supporters of BPF staged torchlight rally in Subhaijhar constituency (Chirang district, Assam), demanding an early election of the BTC (Bodo Territorial Council) which was postponed earlier due to coronavirus pandemic. The BPF workers staged protests across all the 40 constituencies of BTC.",0,crowd size=no report,1618497699,80,200,1833,80,0
5386,IND81610,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BPF: Bodoland People's Front,6,,,0,60,,356,South Asia,India,Assam,Udalguri,Udalguri,Udalguri,26.746,92.0957,2,Sentinel (India); Northeast Now,Subnational,"On 30 September 2020, members and supporters of BPF staged torchlight rally in Nonai Serfang and Mwdwibari constituency (coded as Udalguri, Assam), demanding an early election of the BTC (Bodo Territorial Council) which was postponed earlier due to coronavirus pandemic. The BPF workers staged protests across all the 40 constituencies of BTC.",0,crowd size=no report,1602018434,4626,12357,13605,4626,0
5404,IND81613,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Teachers (India),6,,,0,60,,356,South Asia,India,Tamil Nadu,Virudhunagar,Virudhunagar,Virudhunagar,9.585,77.9578,1,New Indian Express,Subnational,"On 30 September 2020, members of a primary teachers federation held a protest in Virudhunagar town ( Virudhunagar, TN) against the non disbursement of retirement benefits.",0,crowd size=no report,1602018435,18787,54160,105597,18787,0
5420,IND81532,30-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),Vigilante Group (India),5,Civilians (India),Women (India),7,57,Civilian targeting,356,South Asia,India,Assam,Karbi Anglong,Diphu,Diphu,25.8464,93.4306,2,East Mojo; Sentinel (India); Northeast Now; Shillong Times,Subnational-National,"On 30 September 2020, a mob burnt to death a woman and a youth in Rohimapur village (coded as Diphu, Karbi Anglong district, Assam), after suspecting them of practicing witchcraft.",2,crowd size=no report; women targeted: accused of witchcraft/sorcery,1638981220,772,3052,7653,3052,0
5433,IND81561,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India),6,,,0,60,,356,South Asia,India,Haryana,Karnal,Karnal,Karnal,29.6919,76.9844,2,Pioneer (India); Hindustan Times,National,"On 30 September 2020, farmers blocked highways in Karnal district, Haryana, to protest against the delay in procurement of their paddy crop.",0,crowd size=no report,1689711022,18161,73668,143521,18161,0
5437,IND81589,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Teachers (India),6,,,0,60,,356,South Asia,India,Punjab,Patiala,Patiala,Patiala,30.3362,76.3922,1,Chandigarh Tribune,National,"On 30 September 2020, unemployed teachers held a protest at Fountain Chowk (Patiala, Punjab) against the state government for not creating enough job opportunities for the youth. They later lifted the protest once receiving confirmation of a meeting with the state Education Minister.",0,crowd size=no report,1702343411,34336,93042,295169,34336,0
5438,IND81523,30-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),INC: Indian National Congress,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Chandigarh Tribune,Subnational,"On 30 September 2020, police arrested two Congress leaders during a protest in Civil Lines, New Delhi (Delhi-New Delhi), demanding the reopening of weekly markets in the city. The leaders were marching towards the Delhi CM's house.",0,crowd size=no report,1702343411,42775,313290,547126,42775,0
5441,IND81525,30-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),INC: Indian National Congress; IYC: Indian Youth Congress; AIMC: All India Mahila Congress; NSUI: National Students Union of India; Students (India); Women (India); Dalit Caste Group (India); Bhim Army; AISA: All India Students Association; AIDWA: All India Democratic Women's Association,6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Asian News International; Pioneer (India); Telegraph (India),National,"On 30 September 2020, police detained 50 members of the Youth Congress, Delhi Mahila Congress and the NSUI at Uttar Pradesh Bhawan in New Delhi (Delhi-New Delhi), while they were trying to protest the gangrape and death of a 19 year old Dalit girl in Hathras. They were later released. Police also arrested 36 members of the Congress and the Delhi Mahila Congress who were protesting at Vijay Chowk and 80 people from opposition, student, youth and women's groups including Bhim Army, INC, AISA, and AIDWA.",0,crowd size=at least 160,1702407970,42775,313290,547126,42775,0
5454,IND81516,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); KMSC: Farm Laborer Struggle Committee,6,,,0,60,,356,South Asia,India,Chandigarh,Chandigarh,Chandigarh,Chandigarh,30.7362,76.7884,2,Hindustan Times; Pioneer (India),National,"On 30 September 2020, farmers under the banner of Kisan Mazdoor Sangharsh Committee entered the seventh day of their 'rail roko' demonstration in Amritsar and Ferozepur districts of Punjab (coded as Chandigarh), blocking railway tracks in protest to the farm laws passed by the central government.",0,crowd size=no report,1714518461,21915,123161,422580,21915,0
5461,IND81504,30-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BKU: Bharatiya Kisan Union; Farmers (India),6,,,0,60,,356,South Asia,India,Haryana,Karnal,Assandh,Assandh,29.5201,76.6142,1,Hindustan Times,National,"On 30 September 2020, farmers under the banner of the Bharatiya Kisan Union protested outside the Market Committee Office in Assandh (Karnal, Haryana) against the delay in paddy procurement by the Haryana Government.",0,crowd size=no report,1715131158,9355,17999,37070,9355,0
5470,IND81432,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Kamrup Metropolitan,Azara,Kamrup,26.1275,91.5926,1,Sentinel (India); Northeast Now,Subnational,"On 29 September 2020, tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstration by forming human chain at Kamrup (Kamrup district, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 and Scheduled Tribe (ST) status to tea tribe communities among others.",0,crowd size=no report,1618497731,3902,10550,24253,3902,0
5473,IND81457,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Dibrugarh,Naharkatiya,Naharkatia,27.2743,95.1926,1,Sentinel (India); Northeast Now,Subnational,"On 29 September 2020, tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstration by forming human chain at Naharkatia (Dibrugarh district, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 among others.",0,crowd size=no report,1618497733,219,3622,16379,219,0
5492,IND81428,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Jorhat,Jorhat West,Jorhat,26.7456,94.2045,1,Northeast Now,Subnational,"On 29 September 2020, tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstration by forming human chain at Jorhat (Jorhat district, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 and Scheduled Tribe (ST) status to tea tribe communities among others.",0,crowd size=no report,1618497731,5046,27807,34755,5046,0
5497,IND81435,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India); Students (India),6,,,0,60,,356,South Asia,India,Assam,Dibrugarh,Dibrugarh East,Khanikar,27.4381,95.0674,1,Northeast Now,Subnational,"On 29 September 2020, a large number of tea garden workers, women and students under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstration by forming human chain at Khanikar (Dibrugarh district, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 and Scheduled Tribe (ST) status to tea tribe communities among others.",0,crowd size=large,1618497732,3551,6038,19540,3551,0
5507,IND81395,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Bongaigaon,Bongaigaon,Bongaigaon,26.5014,90.5366,2,Sentinel (India),Subnational,"On 29 September 2020, a large number of tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstrations by forming human chains in Bongaigaon district (Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 among others. The workers staged protests in the district as a part of its statewide protest across all districts of Assam.",0,crowd size=large,1602018435,7323,21924,39905,7323,0
5515,IND81469,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Hojai,Lanka,Sankardev Nagar,26.0092,92.9192,2,Sentinel (India),Subnational,"On 29 September 2020, a large number of tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstrations by forming human chains in Hojai district (coded as Sankardev Nagar, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 among others. The workers staged protests in the district as a part of its statewide protest across all districts of Assam.",0,crowd size=large,1618497717,2304,7449,44325,2304,0
5518,IND81415,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Hailakandi,Hailakandi,Hailakandi,24.6793,92.5602,2,Sentinel (India),Subnational,"On 29 September 2020, a large number of tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstrations by forming human chains in Hailakandi district (Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 among others. The workers staged protests in the district as a part of its statewide protest across all districts of Assam.",0,crowd size=large,1602018435,11889,24128,29438,11889,0
5534,IND81431,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),SDPI: Social Democratic Party of India,6,,,0,60,,356,South Asia,India,Karnataka,Dakshina Kannada,Bantval,Kalladka,12.8443,75.0711,1,Times of India,National,"On 29 September 2020, members of the SDPI held a protest in Kalladka village (Dakshina Kannada, KN) against the poor state of the National Highway.",0,crowd size=no report,1602018436,8421,21521,32137,8421,0
5536,IND81473,29-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),GMP: Tripura State Tribal People's Liberation Council; Tribal Group (India),6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Tripura,South Tripura,Satchand,Satchand,23.0283,91.6146,1,Tripura Infoway,Subnational,"On 29 September 2020, workers of GMP and TYF (Tribal Youth Federation) staged a large mass deputation procession at Satchand block (South Tripura district, Tripura), raising 11-point charter of unreported demands. While police stopped the procession, the sub-divisional magistrate accepted the demands.",0,crowd size=large,1602018436,572,1365,5338,572,0
5539,IND81472,29-Sep-20,2020,1,Political violence,Riots,Mob violence,Rioters (India),BJP: Bharatiya Janata Party,5,Civilians (India),CPI(M): Communist Party of India (Marxist),7,57,Civilian targeting,356,South Asia,India,Tripura,South Tripura,Satchand,Satchand,23.0283,91.6146,1,Tripura Infoway,Subnational,"On 29 September 2020, assailants belonging to BJP assaulted a person and vandalized his residence in Satchand block (South Tripura district, Tripura), for attending a deputation program organized by CPI(M) in the block.",0,crowd size=no report,1602018436,572,1365,5338,1365,0
5551,IND81379,29-Sep-20,2020,2,Demonstrations,Protests,Peaceful protest,Protesters (India),CPI(M): Communist Party of India (Marxist); Former Government of India (2014-),6,,,0,60,,356,South Asia,India,Tripura,West Tripura,Mohanpur,Agartala,23.833,91.2864,1,Sentinel (India),National,"Around 29 September 2020 (as reported), workers of Left parties including CPI(M) and a former Minister staged a protest rally in Agartala city (West Tripura district, Tripura), against the recently passed Farm Bills introduced by the central government at the parliament.",0,crowd size=no report,1680633754,45907,51827,58378,45907,0
5571,IND81390,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Barpeta,Barpeta,Barpeta,26.3304,91.004,2,Sentinel (India),Subnational,"On 29 September 2020, a large number of tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstrations by forming human chains in Barpeta district (Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 among others. The workers staged protests in the district as a part of its statewide protest across all districts of Assam.",0,crowd size=large,1714518461,11509,31265,100343,11509,0
5576,IND81441,29-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Labor Group (India),6,,,0,60,,356,South Asia,India,Assam,Lakhimpur,North Lakhimpur,North Lakhimpur,27.2351,94.1035,1,Northeast Now; Sentinel (India),Subnational,"On 29 September 2020, tea garden workers under the aegis of Assam Chah Mazdoor Sangha (ACMS) staged demonstration by forming human chain at Lakhimpur (Lakhimpur district, Assam), raising 11-point charter of demands, including increase of daily wages of tea workers to INR 351 and Scheduled Tribe (ST) status to tea tribe communities among others.",0,crowd size=no report,1714518461,3764,8832,13305,3764,0
5578,IND81478,29-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),Health Workers (India),6,Police Forces of India (2014-),,1,16,,356,South Asia,India,West Bengal,Darjeeling,Matigara,Siliguri,26.7272,88.3984,1,Siliguri Times,Subnational,"On 29 September 2020, around 20 healthcare workers staged a protest march in Siliguri (Darjeeling district, West Bengal), demanding a hike in their wages. Police, however, stopped and detained them before they could reach the premises of the State Secretariat for North Bengal Development Department.",0,crowd size=around 20,1714518461,6962,17537,30108,6962,0
5590,IND81367,28-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),BPF: Bodoland People's Front; Government of India (2014-),6,,,0,60,,356,South Asia,India,Assam,Udalguri,Udalguri,Udalguri,26.746,92.0957,1,Northeast Now; Sentinel (India),Subnational,"On 28 September 2020, workers and supporters of BPF including BPF MLAs staged a protest rally at Udalguri (Udalguri district, Assam), demanding the conduct of the BTC (Bodo Territorial Council) election before October 27, 2020. The said election was postponed earlier due to coronavirus pandemic.",0,crowd size=no report,1602018434,4626,12357,13605,4626,0
5607,IND81231,28-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),Farmers (India); INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Madhya Pradesh,Bhopal,Huzur,Bhopal,23.2546,77.4028,3,Pioneer (India),National,"On 28 September 2020, farmers supported by INC, staged state-wide protests in Madhya Pradesh (coded as Bhopal), against the three agricultural ordinances and bills.",0,crowd size=no report,1618497779,26300,178500,845870,26300,0
5629,IND81299,28-Sep-20,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (India),INC: Indian National Congress; SPS(L): Pragatisheel Samajwadi Party (Lohia); Students (India),6,Police Forces of India (2014-),,1,16,,356,South Asia,India,Uttar Pradesh,Lucknow,Lucknow,Lucknow,26.8392,80.9231,1,Asian News International; Hindustan Times,National,"On 28 September 2020, police used batons to stop protests held by Congress members and the students' wing Pragatisheel Samajwadi Party (Lohia) in Lucknow (Uttar Pradesh), against the farm laws passed by the central government. Police also arrested INC protesters.",0,crowd size=no report,1680633731,22602,96617,627599,22602,0
5651,IND81251,28-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),INC: Indian National Congress,6,,,0,60,,356,South Asia,India,Delhi,New Delhi,,Delhi - New Delhi,28.6321,77.2244,1,Telegraph (India),National,"On 28 September 2020, Congress members held protest marches in Delhi (coded as Delhi-New Delhi) against the farm laws passed by the central government. Congress workers held protest marches in every state.",0,crowd size=no report,1680633756,42775,313290,547126,42775,0
5659,IND81287,28-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),DMK: Dravida Munnetra Kazhagam; CPI: Communist Party of India; CPI(M): Communist Party of India (Marxist); MDMK: Marumalarchi Dravida Munnetra Kazhagam; VCK: Viduthalai Chiruthaigal Katchi,6,,,0,60,,356,South Asia,India,Tamil Nadu,Perambalur,Kunnam,Kolakkanatham,11.1202,78.9504,1,The Hindu,National,"On 28 September 2020, members of the DMK, CPI, CPIM, MDMK, VCK held protests in Kolakkanatham village (Karur, TN)demanding the withdrawal of three farm bills at the Centre.",0,crowd size=no report,1680633757,2844,2505,4873,2844,0
5673,IND81365,28-Sep-20,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (India),DMK: Dravida Munnetra Kazhagam; CPI: Communist Party of India; CPI(M): Communist Party of India (Marxist); MDMK: Marumalarchi Dravida Munnetra Kazhagam; VCK: Viduthalai Chiruthaigal Katchi; Government of India (2014-); Former Government of India (2014-),6,,,0,60,,356,South Asia,India,Tamil Nadu,Pudukkottai,Thirumayam,Tirumayam,10.2449,78.7464,1,The Hindu,National,"On 28 September 2020, members of the DMK, CPI, CPIM, MDMK, VCK and an MLA and former MP held protests in Tirumayam town (Pudukottai, TN)demanding the withdrawal of three farm bills at the Centre.",0,crowd size=no report,1680633758,4595,15446,34579,4595,0
